X,Y,b1_est,b1_pv,b2_est,b2_pv,X_clean,Y_clean,name.x,phylum.x,name.y,phylum.y,source,b1_pv_FDR,b2_pv_FDR
tax_g25,tax_g57,-0.060502309,0.059401536,-0.034562128,0.275160462,g25,g57,genus_g__Clostridium,Firmicutes,genus_g__Odoribacter,Bacteroidetes,genus,0.135774938,0.526534946
tax_g17,tax_g41,-0.038050284,0.126668889,0.031687336,0.27972169,g17,g41,genus_g__Butyricicoccus,Firmicutes,genus_g__Gordonibacter,Actinobacteria,genus,0.225189136,0.526534946
tax_g17,tax_g128,-0.011206035,0.647625152,0.032293773,0.288723276,g17,g128,genus_g__Butyricicoccus,Firmicutes,genus_g__GGB9602,Firmicutes,genus,0.740143031,0.527951133
tax_g25,tax_g4,0.041119801,0.190108612,0.028765926,0.349302521,g25,g4,genus_g__Clostridium,Firmicutes,genus_g__Blautia,Firmicutes,genus,0.296754906,0.60459158
tax_g68,tax_g54,-0.144100595,0.000261428,0.036490136,0.356384047,g68,g54,genus_g__Phocaeicola,Bacteroidetes,genus_g__Parabacteroides,Bacteroidetes,genus,0.001394285,0.60459158
tax_g17,tax_g98,-0.038043184,0.173687132,-0.025524407,0.364566421,g17,g98,genus_g__Butyricicoccus,Firmicutes,genus_g__Paraprevotella,Bacteroidetes,genus,0.285025038,0.60459158
tax_g50,tax_g18,0.04480146,0.155571002,0.030135749,0.368422994,g50,g18,genus_g__Romboutsia,Firmicutes,genus_g__Ruthenibacterium,Firmicutes,genus,0.262409288,0.60459158
tax_g17,tax_g18,-0.073883489,0.007283299,-0.025732058,0.405541238,g17,g18,genus_g__Butyricicoccus,Firmicutes,genus_g__Ruthenibacterium,Firmicutes,genus,0.025896175,0.64886598
tax_g68,tax_g128,0.001171552,0.963721954,-0.022823653,0.472995986,g68,g128,genus_g__Phocaeicola,Bacteroidetes,genus_g__GGB9602,Firmicutes,genus,0.979019128,0.738335198
tax_g50,tax_g40,-0.170656901,9.64E-08,-0.021970281,0.495080278,g50,g40,genus_g__Romboutsia,Firmicutes,genus_g__Faecalibacillus,Firmicutes,genus,8.81E-07,0.754408043
tax_g50,tax_g46,0.124582876,0.000114971,0.020344282,0.510049475,g50,g46,genus_g__Romboutsia,Firmicutes,genus_g__Dysosmobacter,Firmicutes,genus,0.000735811,0.759143404
tax_g68,tax_g97,-0.050367382,0.114930409,0.018477504,0.53960076,g68,g97,genus_g__Phocaeicola,Bacteroidetes,genus_g__Anaerotignum,Firmicutes,genus,0.210158462,0.768125805
tax_g50,tax_g56,0.001368975,0.963422473,-0.018248633,0.546290961,g50,g56,genus_g__Romboutsia,Firmicutes,genus_g__Christensenella,Firmicutes,genus,0.979019128,0.768125805
tax_g17,tax_g29,-0.087636069,0.001873074,0.017819494,0.555369594,g17,g29,genus_g__Butyricicoccus,Firmicutes,genus_g__Oscillibacter,Firmicutes,genus,0.007492296,0.768125805
tax_g50,tax_g98,0.115454734,0.000176519,-0.016881131,0.568447133,g50,g98,genus_g__Romboutsia,Firmicutes,genus_g__Paraprevotella,Bacteroidetes,genus,0.001027018,0.768125805
